Tweet_Text,Label
kah kay yih sach hai,0
neither bhadwaa tantra rather madarjaat log shikhandi kay piichhe chhupp kar waar kar rahay haiin,0
kyoon okay yih kuchh logo ki fitrat hai,0
lagta hsi man chaaha job naey day rahay bhaai ko,0
achchha na bataao mujhay pata hai,0
bhaai kaha ho yaar janoob ki pahchaan kaesay karwa rahay ho aap eesa lg raha hai okay sirf psl okay time utthay ji din reeh gaey psl abhi tak koi pata ni okay captain kaun hoga sponsor kaunsay hongay please bhaai apni medium team ko active karain koi photoshoot hona chaaheeey,0
yesh kaun si mihnat ki thi mujhay bhi bataao mujhay bhi karni hai,0
kisi any medicine mngwai thi without pharmacy waalay day ni rahay thay be phir kabhi aik pharmacy pi kabhi doosri pi,0
ratt bharrway masjid maen hoon maen,0
raatain daingi bata neendo main tairi hi baat hai bhooloon kaesay tujhay tu ttoh khayaalon main saath hai,0
kal hoey na hoey,0
tum ab jaan jaan okay cmnts na na karo aik cmnt paaey be bat hosakti hai,0
inshaaallaah aapko be mile ga keep commitment dedication,0
aesa nai hota bhaai gen ko mj jaesay hunnihar teacher ki zaroorat hai,0
si rishtah ki talaash ha suna tha ya besti be talaash karnay saaey ml jeetay kya,0
hayeee laala ko na daikhain to sakoon nai ata kya bat kar di ha,0
crazy foodie itna sach,0
be ni sakhti nazar,0
ab har jagah apnay saath mat rakho na hamko,0
video kay leeey link open karay,0
fake news hai mohtarmaa phir thook okay chatna paray ga aapko,0
phir ab aapkay father kya,0
psl kaun jeetay ga,0
saari amm tweet main bat karay gy sab ko ptaa chalay ga na,0
aa champli jyada bol mat,0
achchha ab aap itna insist kar rahi hain plan cancel,0
ji ni ji ni ji ni ji ni,0
mulk medium aik munfird ba khidmat addara samjha jata,0
maennay daikha hai aur daikh be raha hon kamaal ka hai,0
favorite ttoh kardiya hai ab kitna favorite hu yih aap bata day,0
wah ji bahut bra maarka mara hai aap nay,0
mairi taraf saaey inkaar ha,0
sir yahaan say ggps qilah cheat singh ko raastay jaatay zara daikhain teacher kaesay keecharr say guzar okay jateen tawajjuh karwaaein atleast road bnwain,0
assignment tthaeri see changing kar okay aik doosray ka copy karna,0
yaar abhi hi achaanak say ddora parra tha minute kay leeey ab utar gaya,0
english ham sharmindah hain tairay qaatil abhi zindah hain,0
jo aap abhi kar rahi ho midon apaa jab tak naam nahi bataao ji ya block nahi karo ji midon apaa hi bulaoo ga likhwa lo,0
meryum chup kar jaao yaar,0
dear customer mubaarak ho aap hbl bank zong company ki taraf say toyota corolla car jeet chukay hain car haasil karnay okay leeey raabitah karain,0
tum sirf bharrway ho,0
aray aesa kuchh ni ha kaesi baatain kar rahain aap,0
