Tweet_Text,Label,user_name
kah kay yih sach hai,0,AbdulHameed4200
tum log pappu mat bano kyoonkay soniya aur pawar any tumnlogo ko pappu hi nahi kutta bana kar chod diya hai ab kai kai kartay rahi bhaunk ttoh saktay nahi,2,habibeespam
neither bhadwaa tantra rather madarjaat log shikhandi kay piichhe chhupp kar waar kar rahay haiin,0,Its_CineHub
bhaunk karachiuniversity raha ha kuttay okay pille chal phoott yahaan say warnah tairay akhrott tod danga,2,Mhkxyo
kyoon okay yih kuchh logo ki fitrat hai,0,Imrantigers666
tairay kahnay ka matlab kameenah hu,2,Mhkxyo
daikh kitna khush ho raha h bc,2,RanveersRebel
laili randdi ki laili,2,KishuKiMeera
bhaai aesi democracy ka kya laina ha udhar woman ko freedom nahi par crime kam hai unki achchhi cheezain adopt karni chaaheeey buri cheezain chod,2,aiyshabbasmirza
yih maadar chod patti waalay yahoodi qadoani group,2,MaryamNSharif
maderchood bhadva chinese halala ki nazies aulaad suoor okay baicha,4,SevadalNL
lagta hsi man chaaha job naey day rahay bhaai ko,0,iamteamprerna
achchha na bataao mujhay pata hai,0,varungrover
citizen pakistani voted please donot make feel ashamed call pakistani aapko pakistan ki izzat ka waastah please wuhan near city xiachan man phase pakistani student ko jild az jald wahn say nikalenthey begging youplease,1,r1sharam
hijra hai bilaawal,3,KishuKiMeera
bhaai kaha ho yaar janoob ki pahchaan kaesay karwa rahay ho aap eesa lg raha hai okay sirf psl okay time utthay ji din reeh gaey psl abhi tak koi pata ni okay captain kaun hoga sponsor kaunsay hongay please bhaai apni medium team ko active karain koi photoshoot hona chaaheeey,0,BeautifulRuby5
yesh kaun si mihnat ki thi mujhay bhi bataao mujhay bhi karni hai,0,blublubluberri
kisi any medicine mngwai thi without pharmacy waalay day ni rahay thay be phir kabhi aik pharmacy pi kabhi doosri pi,0,PrashantShokee7
apnay baap ki mahngay ka be zikr kar yahoodi khaan okay supporter,2,Rosalind_kk
randdi also meant widow begin meaning ha changed year,2,sheenadoll4196
ratt bharrway masjid maen hoon maen,0,SPNagashree1
raatain daingi bata neendo main tairi hi baat hai bhooloon kaesay tujhay tu ttoh khayaalon main saath hai,0,asliwaalimon
kal hoey na hoey,0,Hussainiya_t
tum ab jaan jaan okay cmnts na na karo aik cmnt paaey be bat hosakti hai,0,Wajihahilal1
randdi ronaaa taira,2,ShayanA2307
inshaaallaah aapko be mile ga keep commitment dedication,0,nadia07796013
aesa nai hota bhaai gen ko mj jaesay hunnihar teacher ki zaroorat hai,0,MirzaJa06139004
si rishtah ki talaash ha suna tha ya besti be talaash karnay saaey ml jeetay kya,0,Beaute_du_Coeur
hayeee laala ko na daikhain to sakoon nai ata kya bat kar di ha,0,grimorgray
crazy foodie itna sach,0,masoomnaqvi5
be ni sakhti nazar,0,iihtishamm
ab har jagah apnay saath mat rakho na hamko,0,aftabksyed
video kay leeey link open karay,0,rameezasif
fake news hai mohtarmaa phir thook okay chatna paray ga aapko,0,AsaZareen
think base akhrott halwa topping gulaab jaman sweet dish,2,AhmyNaqvii1
phir ab aapkay father kya,0,GFarooqi
lakh lanat tairay utthay kanjar da puttar,2,Haqeeqat_TV
psl kaun jeetay ga,0,docyumyum
merry father ha jawaab aur day bhi diya ha e bayghart kanjar kashmir frosh gaanddu lanati sazishi kanjar imraan yahoodi ki naajaaiz aulaad ko,2,anumsiddiki89
saari amm tweet main bat karay gy sab ko ptaa chalay ga na,0,Nimzz_hii
aa champli jyada bol mat,0,masoomnaqvi5
world war horaha hai bahanchod wahhh,2,AftabNaseem8
pahlay jo taaray baap na diya ha extension without saalay ab jothy ho gaey taaray baap nawaaz shareef na be di thi ab tumhaari ami nikal rahi ha,2,OmarIffat
ghar main jitnay bhi connection aaey hai un main say sab say positive sana ka brother hai aesi punjabi hunde pure dil day saaf please vote sana sab sana ko winner bannay ki koshish karo guy,1,Ghazanfarali13
isnt worthy man hijra,3,EtratJ
bc direct hi match hi start kar daitay opening ceremony miss kara okay,2,Amjad0377
bc use pussy cat be kahtay pata ni kab taira gandah mind saaf ho ga,2,captplanet1952
would support idea wholeheartedly learn tolerant opinion povs belief threat harm directed family nothing say one ha label face ahmedi muslim family harm way,4,Alisha70600446
achchha ab aap itna insist kar rahi hain plan cancel,0,Kashif_Shahid
ji ni ji ni ji ni ji ni,0,Engr_Naveed111
astaghfirullaah bhoot manhoos lag rahay ho charsi real be kala meme be kala aa thu shakl sai nah meme two sai kar,2,AzzaadHona
ratt kyoon okay sab bahanchod hai matlab poora relation khatm whatthefuck,2,_Bae_Sharam_
sid ko tamij sikhane waalay chhuttiyon ki language dikho yahaan bhaunk rahay hain doe really care laughoutloud keep barking,2,ishaniDRDZ
mulk medium aik munfird ba khidmat addara samjha jata,0,dadylol2
maennay daikha hai aur daikh be raha hon kamaal ka hai,0,Yousafzais_
favorite ttoh kardiya hai ab kitna favorite hu yih aap bata day,0,Shahzad30766981
wah ji bahut bra maarka mara hai aap nay,0,quetta1639
mairi taraf saaey inkaar ha,0,ImranNew6
absolutely safe coronavirus virus spreading pakistan know passenger coming china get free checkup airport hamaaray doctor paramedic unka sirf temperature hi check karkay bata daitay hain,1,AbdurRehman2028
sir yahaan say ggps qilah cheat singh ko raastay jaatay zara daikhain teacher kaesay keecharr say guzar okay jateen tawajjuh karwaaein atleast road bnwain,0,justvoot
bahanchod hain yih,2,Maya_hedonic
assignment tthaeri see changing kar okay aik doosray ka copy karna,0,yeeththisbempty
ratt aaishah mean randdi urdu,2,SalehKh41134050
yaar abhi hi achaanak say ddora parra tha minute kay leeey ab utar gaya,0,Glitteratzikin1
english ham sharmindah hain tairay qaatil abhi zindah hain,0,Amwaqarkhan
wahn tthandd hi jaatay bosdk,1,Only4MySidNaaz
nawaaz shareef wapis aaey ga nawaaz shareef leader hai imraan khaan yahoodi agent hai imraan khaan cocaine laita hai nawaaz shareef beemaar ha ya drama kar raha hai maryam baahir jaaey ji ya nahi whatthefuck behavior,1,captplanet1952
jo aap abhi kar rahi ho midon apaa jab tak naam nahi bataao ji ya block nahi karo ji midon apaa hi bulaoo ga likhwa lo,0,otksath
tu hijra hai ae hijrechatya,3,PMLNSMTjv
abay yih bc call hold waala music kya ho raha hai hahahahahahahahahahahah,2,SalehKh41134050
aaj kal ki randdiyaan bahut khully amm dhamkiya daiti hain wah kya zaman gaya hai,2,TehzibJ
aur chootiya any urdu naam likha h hahahha tu secularism ki maan chod di,2,Marwaici
meryum chup kar jaao yaar,0,RehmanMuteeur
yaar you ny ilzaam nai lagaaya you ny kaha okay controversy hi yih yih ilzaam nai hi bl okay aik ajeeb see kahaani hi jo khuda jaanay sach hi jhoott magar aik perception float kar rahi hi rahi bat wafaadaari ki kya aap ny memo gate okay barray nai suna ki wafa pakistan saaey hatti aaj yih hal hota hamaara,1,adamjeezee
dear customer mubaarak ho aap hbl bank zong company ki taraf say toyota corolla car jeet chukay hain car haasil karnay okay leeey raabitah karain,0,SnF_Ideas
phair to chand sa lanat banti thi,2,zakaullah940
tum sirf bharrway ho,0,SalehKh41134050
dikha di na apni auqaat galii nikal okay kisi kutttti maan okay bachay gastii ki oladd sallay rape production tairi maan ki chhutt maruu rndii ka bachasally qusoor taira nahi taira maan ka jo tairi dafa highway par ttaangay khol okay lytii thi har ata jata chod okay jata tha phir tujh jaesa gaanddu paeda hoa,2,awais_hameed
madarsachaap halala ki paidaishh,4,JunaidHButt
saali ka number father karo,2,AbdulHameed4200
aray aesa kuchh ni ha kaesi baatain kar rahain aap,0,WaheedKhawaja6
tum logon nay apni bagion ko twitter pi la kar bakwas kartay ho randdi aurat ka bacha musslli,2,_khanpathan
fazl_u_ bahan chod said,2,Akramghouri64
agar officer aesay karay ga ahem kya karay ge,0,Nimzz_hii
ab be kar rahay hain mairay ham naam,0,MemesWeems
achchha ab bataao kahan busy thi,0,Slashahmed86
sunni killing shia whats new thank god wasnt ahmedi muslim otherwise motive would acquire passport migrate western country continue islamic jihadi work retirement,4,ZahidKh66315597
sir ji aap tu kah rahay thay deal ni hoi par yih tu aesa lag rah hi sub ho gaya hi khaan shab ny deal ki tu next kisay ko we vote ni ddala jay ga bc saari pakistani political leader chootiya banaatay hi awaam ko ba ghareeb okay leeey kch we nai aen bahanchodon ko aesay chor diya khaan ny afsos,2,wigglyywhoops
ratt bahanchod har roz sad feel karnay ka to routine hi baan gaya hai,2,Hani_Sharam
haha abay saalay,2,Tinaduttalovers
har kisi kay father ya ration card milaiga aadhar mile ga passport school ka certificate janam pramanpatr koi zameen ka tukda koi padosi jo tum jaantay ho kaafi hai apni pahchaan bataanay kay leeey government aur bhi list add karaigi agar kisikay father inn main saykoi document nahi,0,sharam_diniz
